Nom Famille,Prénom,Classe,Email Tuteur,Mobile,Date Absence,Justification
Bennani,Oumaima,Cyber Security,aymaneessalehy79@gmail.com,0645376019,2025-05-03,
Filali,Kenza,Cyber Security,armyhajar26@gmail.com,0659455137,2025-04-03,Maladie
Tahiri,Ghita,Big Data,aymaneessalehy79@gmail.com,0659455137,2025-12-24,
Alaoui,Youssef,Big Data,Houdafettou06@gmail.com,0613086578,2025-02-18,Rendez-vous medical
Sefrioui,Amine,Cyber Security,armyhajar26@gmail.com,0645376019,2025-11-05,Urgence familiale
Tazi,Anas,Big Data,marcilinemarciline58@gmail.com,0659455137,2025-05-04,
Chraibi,Fatima,Big Data,Houdafettou06@gmail.com,0613086578,2025-02-27,Grippe
Ouazzani,Mohamed,Cyber Security,armyhajar26@gmail.com,0659455137,2025-03-18,
Chraibi,Fatima,Big Data,someoner774@gmail.com,0645376019,2025-04-20,
Berrada,Amine,Big Data,armyhajar26@gmail.com,0645376019,2025-11-26,Rendez-vous medical
Tazi,Amine,IA,aymaneessalehy79@gmail.com,0613086578,2025-12-12,Maladie
Filali,Hicham,Big Data,armyhajar26@gmail.com,0613086578,2025-12-08,Rendez-vous medical
Idrissi,Fatima,IA,marcilinemarciline58@gmail.com,0645376019,2025-04-19,
Sefrioui,Hicham,Cyber Security,aymaneessalehy79@gmail.com,0645376019,2025-11-04,Grippe
Filali,Hamza,Cyber Security,Houdafettou06@gmail.com,0659455137,2025-07-08,Urgence familiale
El Fassi,Amine,Big Data,Houdafettou06@gmail.com,0659455137,2025-11-06,
Chraibi,Safia,IA,armyhajar26@gmail.com,0645376019,2025-05-13,Maladie
Tahiri,Kenza,IA,marcilinemarciline58@gmail.com,0659455137,2025-01-07,Rendez-vous medical
Alaoui,Salma,Cyber Security,Houdafettou06@gmail.com,0613086578,2025-12-17,Urgence familiale
Benjelloun,Anas,IA,marcilinemarciline58@gmail.com,0645376019,2025-04-11,Transport
Kadiri,Anas,IA,marcilinemarciline58@gmail.com,0659455137,2025-02-21,Maladie
Idrissi,Sara,IA,armyhajar26@gmail.com,0645376019,2025-02-18,
Chraibi,Salma,Big Data,someoner774@gmail.com,0645376019,2025-06-04,
Alaoui,Omar,Big Data,marcilinemarciline58@gmail.com,0613086578,2025-08-28,Voyage
Alaoui,Mohamed,IA,someoner774@gmail.com,0645376019,2025-11-11,Urgence familiale
Tazi,Ghita,IA,Houdafettou06@gmail.com,0613086578,2025-01-12,Maladie
Benjelloun,Salma,IA,armyhajar26@gmail.com,0659455137,2025-01-24,
Tahiri,Meryem,Cyber Security,Houdafettou06@gmail.com,0659455137,2025-03-19,
Kadiri,Houda,IA,Houdafettou06@gmail.com,0659455137,2025-06-09,
Benjelloun,Houda,IA,marcilinemarciline58@gmail.com,0613086578,2025-05-21,Maladie
Filali,Safia,Cyber Security,someoner774@gmail.com,0659455137,2025-03-21,Maladie
Tazi,Safia,Cyber Security,armyhajar26@gmail.com,0613086578,2025-10-13,
Alami,Meryem,IA,armyhajar26@gmail.com,0645376019,2025-05-23,Rendez-vous medical
Filali,Salma,Big Data,someoner774@gmail.com,0613086578,2025-11-03,Transport
Alaoui,Hamza,Big Data,aymaneessalehy79@gmail.com,0613086578,2025-10-28,
Bennani,Omar,Big Data,aymaneessalehy79@gmail.com,0659455137,2025-09-11,Urgence familiale
Kadiri,Safia,IA,armyhajar26@gmail.com,0613086578,2025-09-19,Maladie
Ouazzani,Safia,Big Data,armyhajar26@gmail.com,0659455137,2025-09-15,Transport
Benjelloun,Mehdi,Big Data,Houdafettou06@gmail.com,0613086578,2025-04-15,
Berrada,Safia,Cyber Security,marcilinemarciline58@gmail.com,0659455137,2025-09-13,
Benjelloun,Meryem,Big Data,armyhajar26@gmail.com,0645376019,2025-01-17,Transport
